state,R_votes,D_votes,EVs
Alabama,728701,256923,9
Alaska,55349,32967,3
Arizona,402812,198540,6
Arkansas,445751,198899,6
California,4602096,3475847,45
Colorado,597189,329980,7
Connecticut,810763,555498,8
Delaware,140357,92283,3
D.C.,35226,127627,3
Florida,1857759,718117,17
Georgia,881496,289529,12
Hawaii,168865,101409,4
Idaho,199384,80826,4
Illinois,2788179,1913472,26
Indiana,1405154,708568,13
Iowa,706207,496206,8
Kansas,619812,270287,7
Kentucky,676446,371159,9
Louisiana,686852,298142,10
Maine,256458,160584,4
Maryland,829305,505781,10
Massachusetts,1112078,1332540,14
Michigan,1961721,1459435,21
Minnesota,898269,802346,10
Mississippi,505125,126782,7
Missouri,1154058,698531,12
Montana,183976,120197,4
Nebraska,406298,169991,5
Nevada,115750,66016,3
New Hampshire,213724,116435,4
New Jersey,1845502,1102211,17
New Mexico,235606,141084,4
New York,4192778,2951084,41
North Carolina,1054889,438705,13
North Dakota,174109,100384,3
Ohio,2441827,1558889,25
Oklahoma,759025,247147,8
Oregon,486686,392760,6
Pennsylvania,2714521,1796951,27
Rhode Island,220383,194645,4
South Carolina,478427,189270,8
South Dakota,166476,139945,4
Tennessee,813147,357293,10
Texas,2298896,1154291,26
Utah,323643,126284,4
Vermont,117149,68174,3
Virginia,988493,438887,11
Washington,837135,568334,9
West Virginia,484964,277435,6
Wisconsin,989430,810174,11
Wyoming,100464,44358,3
