state,D_votes,R_votes,EVs
Alabama,690080,804283,9
Alaska,78294,102000,3
Arizona,543050,572086,8
Arkansas,505823,337324,6
California,5121325,3630574,54
Colorado,629681,562850,8
Connecticut,682318,578313,8
Delaware,126054,102313,3
D.C.,192619,20698,3
Florida,2072698,2173310,25
Georgia,1008966,995252,13
Hawaii,179310,136822,4
Idaho,137013,202645,4
Illinois,2453350,1734096,22
Indiana,848420,989375,12
Iowa,586353,504891,7
Kansas,390434,449951,6
Kentucky,665104,617178,8
Louisiana,815971,733386,9
Maine,263420,206504,4
Maryland,988571,707094,10
Massachusetts,1318662,805049,12
Michigan,1871182,1554940,18
Minnesota,1020997,747841,10
Mississippi,400258,487793,7
Missouri,1053873,811159,11
Montana,154507,144207,3
Nebraska,217344,344346,5
Nevada,189148,175828,4
New Hampshire,209040,202484,4
New Jersey,1436206,1356865,15
New Mexico,261617,212824,5
New York,3444450,2346649,33
North Carolina,1114042,1134661,14
North Dakota,99168,136244,3
Ohio,1984942,1894310,21
Oklahoma,473066,592929,8
Oregon,621314,475757,7
Pennsylvania,2239164,1791841,23
Rhode Island,213299,131601,4
South Carolina,479514,577507,8
South Dakota,124888,136718,3
Tennessee,933521,841300,11
Texas,2281815,2496071,32
Utah,183429,322632,5
Vermont,133592,88122,3
Virginia,1038650,1150517,13
Washington,993037,731234,11
West Virginia,331001,241974,5
Wisconsin,1041066,930855,11
Wyoming,68160,79347,3
