state,D_votes,R_votes,EVs
Alabama,849624,1441170,9
Alaska,153778,189951,3
Arizona,1672143,1661686,11
Arkansas,423932,760647,6
California,11110639,6006518,55
Colorado,1804352,1364607,9
Connecticut,1080831,714717,7
Delaware,296268,200603,3
District of Columbia,317323,18586,3
Florida,5297045,5668731,29
Georgia,2473633,2461854,16
Hawaii,366130,196864,4
Idaho,287021,554119,4
Illinois,3471915,2446891,20
Indiana,1242498,1729857,11
Iowa,759061,897672,6
Kansas,570323,771406,6
Kentucky,772474,1326646,8
Louisiana,856034,1255776,8
Maine,435072,360737,2
Tooltip Maine's 1st congressional district,266376,164045,1
Tooltip Maine's 2nd congressional district,168696,196692,1
Maryland,1985023,976414,10
Massachusetts,2382202,1167202,11
Michigan,2804040,2649852,16
Minnesota,1717077,1484065,10
Mississippi,539398,756764,6
Missouri,1253014,1718736,10
Montana,244786,343602,3
Nebraska,374583,556846,2
Tooltip Nebraska's 1st congressional district,132261,180290,1
Tooltip Nebraska's 2nd congressional district,176468,154377,1
Tooltip Nebraska's 3rd congressional district,65854,222179,1
Nevada,703486,669890,6
New Hampshire,424937,365660,4
New Jersey,2608400,1883313,14
New Mexico,501614,401894,5
New York,5244886,3251997,29
North Carolina,2684292,2758775,15
North Dakota,115042,235751,3
Ohio,2679165,3154834,18
Oklahoma,503890,1020280,7
Oregon,1340383,958448,7
Pennsylvania,3458229,3377674,20
Rhode Island,307486,199922,4
South Carolina,1091541,1385103,9
South Dakota,150471,261043,3
Tennessee,1143711,1852475,11
Texas,5259126,5890347,38
Utah,560282,865140,6
Vermont,242820,112704,3
Virginia,2413568,1962430,13
Washington,2369612,1584651,12
West Virginia,235984,545382,5
Wisconsin,1630866,1610184,10
Wyoming,73491,193559,3
