state,R_votes,D_votes,EVs
Alabama,1176394,693933,9
Alaska,190889,111025,3
Arizona,1104294,893524,10
Arkansas,572898,469953,6
California,5509826,6745485,55
Colorado,1101255,1001732,9
Connecticut,693826,857488,7
Delaware,171660,200152,3
District of Columbia,21256,202970,3
Florida,3964522,3583544,27
Georgia,1914254,1366149,15
Hawaii,194191,231708,4
Idaho,409235,181098,4
Illinois,2345946,2891550,21
Indiana,1479438,969011,11
Iowa,751957,741898,7
Kansas,736456,434993,6
Kentucky,1069439,712733,8
Louisiana,1102169,820299,9
Maine,330201,396842,4
Maryland,1024703,1334493,10
Massachusetts,1071109,1803800,12
Michigan,2313746,2479183,17
Minnesota,1346695,1445014,9
Mississippi,684981,458094,6
Missouri,1455713,1259171,11
Montana,266063,173710,3
Nebraska,512814,254328,5
Nevada,418690,397190,5
New Hampshire,331237,340511,4
New Jersey,1670003,1911430,15
New Mexico,376930,370942,5
New York,2962567,4314280,31
North Carolina,1961166,1525849,15
North Dakota,196651,111052,3
Ohio,2859768,2741167,20
Oklahoma,959792,503966,7
Oregon,866831,943163,7
Pennsylvania,2793847,2938095,21
Rhode Island,169046,259765,4
South Carolina,937974,661699,8
South Dakota,232584,149244,3
Tennessee,1384375,1036477,11
Texas,4526917,2832704,34
Utah,663742,241199,5
Vermont,121180,184067,3
Virginia,1716959,1454742,13
Washington,1304894,1510201,11
West Virginia,423778,326541,5
Wisconsin,1478120,1489504,10
Wyoming,167629,70776,3
