state,D_votes,R_votes,EVs
Alabama,690080,804283,9
Arizona,543050,572086,8
California,5121325,3630574,54
Connecticut,682318,578313,8
D.C.,192619,20698,3
Georgia,1008966,995252,13
Idaho,137013,202645,4
Indiana,848420,989375,12
Kansas,390434,449951,6
Louisiana,815971,733386,9
Maryland,988571,707094,10
Michigan,1871182,1554940,18
Mississippi,400258,487793,7
Montana,154507,144207,3
Nevada,189148,175828,4
New Jersey,1436206,1356865,15
New York,3444450,2346649,33
North Dakota,99168,136244,3
Oklahoma,473066,592929,8
Pennsylvania,2239164,1791841,23
South Carolina,479514,577507,8
Tennessee,933521,841300,11
Utah,183429,322632,5
Virginia,1038650,1150517,13
West Virginia,331001,241974,5
Wyoming,68160,79347,3
