state,R_votes,D_votes,EVs
Alabama,654192,636730,9
Alaska,86112,41842,3
Arizona,529688,246843,6
Arkansas,403164,398041,6
California,4524858,3083661,45
Colorado,652264,367973,7
Connecticut,677210,541732,8
Delaware,111252,105754,3
D.C.,23313,130231,3
Florida,2046951,1419475,17
Georgia,654168,890733,12
Hawaii,130112,135879,4
Idaho,290699,110192,4
Illinois,2358049,1981413,26
Indiana,1255656,844197,13
Iowa,676026,508672,8
Kansas,566812,326150,7
Kentucky,635274,616417,9
Louisiana,792853,708453,10
Maine,238522,220974,4
Maryland,680606,726161,10
Massachusetts,1057631,1053802,14
Michigan,1915225,1661532,21
Minnesota,873241,954174,10
Mississippi,441089,429281,7
Missouri,1074181,931182,12
Montana,206814,118032,4
Nebraska,419937,166851,5
Nevada,155017,66666,3
New Hampshire,221705,108864,4
New Jersey,1546557,1147364,17
New Mexico,250779,167826,4
New York,2893831,2728372,41
North Carolina,915018,875635,13
North Dakota,193695,79189,3
Ohio,2206545,1752414,25
Oklahoma,695570,402026,8
Oregon,571044,456890,6
Pennsylvania,2261872,1937540,27
Rhode Island,154793,198342,4
South Carolina,441207,427560,8
South Dakota,198343,103855,4
Tennessee,787761,783051,10
Texas,2510705,1881147,26
Utah,439687,124266,4
Vermont,94598,81891,3
Virginia,989609,752174,12
Washington,865244,650193,9
West Virginia,334206,367462,6
Wisconsin,1088845,981584,11
Wyoming,110700,49427,3
